(1, 4, 0, 1, 1, 6, 0, 1, 1),
(1, 6, 0, 1, 0, 3, 0, 0, 0),
(2, 4, 1, 0, 0, 4, 0, 0, 0),
(2, 6, 0, 0, 1, 3, 0, 0, 0),
(3, 4, 0, 1, 2, 7, 0, 0, 0),
(3, 6, 0, 1, 1, 7, 1, 0, 0),
(4, 4, 0, 1, 0, 5, 0, 0, 0),
(4, 6, 1, 0, 0, 5, 1, 0, 1),
(5, 4, 1, 1, 3, 4, 1, 0, 2),
(5, 6, 0, 0, 3, 0, 0, 0, 0),
(6, 4, 0, 0, 3, 6, 1, 0, 0),
(6, 6, 0, 0, 2, 0, 1, 0, 1),
(7, 4, 0, 0, 1, 5, 0, 0, 0),
(7, 6, 0, 0, 2, 3, 0, 0, 1),
(8, 4, 0, 2, 0, 3, 0, 0, 0),
(8, 6, 0, 0, 0, 6, 0, 0, 0),
(9, 4, 0, 2, 0, 5, 1, 0, 2),
(9, 6, 1, 0, 1, 0, 0, 0, 2),
(10, 4, 0, 2, 0, 0, 0, 0, 0),
(10, 6, 1, 1, 2, 2, 0, 0, 2),
(11, 4, 0, 0, 0, 7, 0, 0, 1),
(11, 6, 0, 2, 0, 3, 0, 0, 0),
(12, 4, 0, 0, 3, 1, 0, 0, 2),
(12, 6, 0, 0, 1, 5, 0, 0, 1),
(13, 4, 0, 0, 1, 2, 0, 0, 1),
(13, 6, 0, 2, 0, 5, 0, 0, 1),
(14, 4, 0, 1, 0, 0, 1, 0, 0),
(14, 6, 0, 0, 2, 1, 0, 0, 2),
(15, 4, 0, 0, 1, 7, 0, 0, 0),
(15, 6, 0, 0, 0, 6, 0, 0, 2),
(16, 4, 0, 2, 0, 4, 0, 0, 2),
(16, 6, 0, 0, 1, 1, 0, 0, 0),
(17, 4, 0, 2, 1, 1, 0, 0, 0),
(17, 6, 1, 1, 0, 0, 0, 0, 1),
(18, 4, 0, 2, 0, 7, 0, 0, 2),
(18, 6, 0, 1, 1, 2, 0, 0, 2),
(19, 4, 0, 2, 0, 0, 0, 0, 0),
(19, 6, 0, 2, 0, 7, 0, 0, 0),
(20, 4, 0, 0, 0, 0, 0, 0, 1),
(20, 6, 0, 0, 2, 7, 1, 0, 1),
(21, 20, 0, 0, 0, 1, 0, 0, 1),
(22, 20, 0, 0, 0, 2, 1, 0, 0),
(23, 20, 0, 0, 0, 1, 0, 0, 0),
(24, 20, 0, 0, 0, 2, 1, 0, 0),
(25, 20, 0, 1, 2, 4, 1, 0, 1),
(26, 20, 0, 2, 0, 2, 0, 0, 1),
(27, 20, 0, 2, 1, 2, 0, 0, 0),
(28, 20, 0, 2, 1, 4, 0, 0, 2),
(29, 20, 0, 1, 2, 0, 1, 0, 0),
(30, 20, 1, 1, 1, 1, 1, 0, 2),
(31, 20, 0, 0, 0, 2, 1, 1, 0),
(32, 20, 0, 0, 1, 0, 0, 0, 1),
(33, 20, 1, 0, 0, 7, 0, 0, 2),
(34, 20, 0, 0, 0, 4, 0, 0, 2),
(35, 20, 0, 1, 0, 1, 0, 0, 0),
(36, 20, 0, 1, 1, 5, 1, 0, 0),
(37, 20, 0, 1, 2, 4, 0, 0, 0),
(38, 20, 0, 2, 2, 4, 1, 0, 0),
(39, 20, 1, 2, 1, 6, 1, 0, 0),
(40, 20, 0, 0, 1, 2, 0, 0, 0),
(41, 25, 1, 1, 1, 7, 0, 0, 1),
(42, 25, 0, 0, 1, 0, 0, 0, 2),
(43, 25, 1, 1, 0, 5, 1, 0, 1),
(44, 25, 0, 0, 3, 5, 0, 0, 2),
(45, 25, 0, 0, 0, 5, 1, 0, 2),
(46, 25, 0, 0, 0, 1, 0, 0, 0),
(47, 25, 0, 0, 0, 7, 0, 0, 2),
(48, 25, 0, 0, 2, 3, 1, 0, 0),
(49, 25, 0, 1, 1, 7, 0, 0, 1),
(50, 25, 0, 0, 2, 4, 0, 0, 1),
(51, 25, 0, 1, 0, 4, 0, 0, 1),
(52, 25, 0, 1, 1, 4, 0, 0, 0),
(53, 25, 0, 0, 3, 3, 1, 0, 2),
(54, 25, 0, 0, 2, 4, 0, 0, 0),
(55, 25, 0, 1, 2, 6, 1, 0, 0),
(56, 25, 1, 0, 1, 7, 0, 0, 2),
(57, 25, 0, 0, 2, 6, 0, 0, 2),
(58, 25, 0, 1, 0, 5, 0, 0, 0),
(59, 25, 0, 0, 0, 1, 1, 0, 1),
(60, 25, 0, 1, 0, 3, 0, 0, 2),
(61, 33, 1, 1, 0, 2, 0, 0, 2),
(61, 34, 0, 0, 1, 4, 0, 0, 0),
(62, 33, 0, 1, 0, 6, 0, 0, 0),
(62, 34, 0, 1, 1, 2, 0, 1, 1),
(63, 33, 1, 0, 0, 2, 0, 0, 1),
(63, 34, 0, 1, 0, 2, 0, 0, 0),
(64, 33, 0, 1, 0, 0, 0, 0, 2),
(64, 34, 0, 1, 1, 5, 0, 0, 1),
(65, 33, 0, 0, 1, 2, 0, 0, 0),
(65, 34, 1, 1, 0, 2, 1, 0, 1),
(66, 33, 0, 0, 1, 6, 0, 0, 2),
(66, 34, 1, 1, 0, 2, 0, 0, 2),
(67, 33, 0, 0, 3, 1, 0, 1, 0),
(67, 34, 0, 0, 3, 3, 1, 0, 0),
(68, 33, 0, 0, 1, 4, 1, 0, 1),
(68, 34, 0, 0, 0, 3, 1, 1, 0),
(69, 33, 1, 0, 0, 0, 1, 1, 0),
(69, 34, 0, 0, 1, 5, 1, 0, 2),
(70, 33, 0, 2, 1, 4, 0, 0, 0),
(70, 34, 0, 1, 0, 0, 1, 0, 0),
(71, 33, 0, 0, 3, 1, 0, 0, 0),
(71, 34, 0, 0, 2, 7, 1, 0, 0),
(72, 33, 0, 0, 1, 7, 0, 1, 0),
(72, 34, 0, 1, 0, 2, 0, 0, 1),
(73, 33, 0, 1, 3, 7, 0, 0, 0),
(73, 34, 0, 0, 0, 7, 0, 0, 1),
(74, 33, 0, 1, 2, 1, 1, 1, 0),
(74, 34, 1, 2, 0, 0, 0, 0, 1),
(75, 33, 1, 1, 1, 4, 1, 1, 1),
(75, 34, 1, 0, 1, 5, 0, 0, 0),
(76, 33, 0, 1, 0, 4, 1, 0, 0),
(76, 34, 0, 1, 2, 7, 0, 0, 0),
(77, 33, 1, 2, 0, 7, 1, 1, 0),
(77, 34, 1, 2, 1, 3, 0, 0, 0),
(78, 33, 0, 2, 0, 6, 0, 0, 2),
(78, 34, 0, 2, 0, 2, 0, 0, 1),
(79, 33, 0, 0, 1, 5, 0, 0, 1),
(79, 34, 0, 0, 0, 4, 1, 0, 0),
(80, 33, 0, 0, 0, 3, 0, 0, 1),
(80, 34, 0, 0, 0, 7, 0, 0, 0),
(81, 42, 1, 0, 1, 6, 0, 0, 2),
(81, 44, 0, 0, 2, 7, 0, 0, 1),
(81, 46, 0, 0, 1, 3, 1, 0, 1),
(82, 42, 0, 0, 2, 7, 1, 0, 2),
(82, 44, 0, 1, 0, 0, 0, 0, 1),
(82, 46, 0, 0, 0, 2, 0, 0, 0),
(83, 42, 0, 1, 1, 5, 0, 0, 1),
(83, 44, 0, 0, 0, 4, 1, 0, 2),
(83, 46, 1, 0, 1, 0, 0, 0, 0),
(84, 42, 0, 1, 0, 2, 0, 0, 1),
(84, 44, 0, 1, 2, 3, 0, 0, 1),
(84, 46, 1, 0, 1, 3, 0, 0, 1),
(85, 42, 0, 0, 1, 0, 1, 0, 0),
(85, 44, 0, 0, 3, 0, 1, 0, 1),
(85, 46, 0, 0, 0, 4, 0, 0, 2),
(86, 42, 0, 0, 0, 1, 0, 0, 0),
(86, 44, 0, 1, 0, 1, 0, 0, 1),
(86, 46, 0, 0, 0, 4, 1, 0, 2),
(87, 42, 0, 0, 0, 0, 1, 0, 0),
(87, 44, 1, 1, 2, 3, 0, 0, 2),
(87, 46, 1, 0, 3, 5, 1, 0, 0),
(88, 42, 0, 0, 0, 1, 0, 1, 0),
(88, 44, 1, 1, 2, 0, 1, 1, 2),
(88, 46, 0, 1, 1, 6, 1, 0, 0),
(89, 42, 0, 2, 0, 0, 0, 0, 0),
(89, 44, 0, 0, 0, 7, 0, 0, 0),
(89, 46, 0, 0, 0, 1, 0, 1, 0),
(90, 42, 0, 0, 0, 2, 1, 0, 1),
(90, 44, 0, 1, 1, 0, 0, 0, 0),
(90, 46, 1, 0, 0, 6, 0, 0, 0),
(91, 42, 0, 1, 0, 0, 0, 0, 0),
(91, 44, 0, 0, 1, 7, 0, 1, 2),
(91, 46, 0, 0, 1, 6, 1, 0, 2),
(92, 42, 0, 2, 1, 4, 1, 0, 0),
(92, 44, 0, 0, 0, 7, 0, 0, 0),
(92, 46, 1, 0, 0, 2, 0, 0, 1),
(93, 42, 0, 0, 1, 3, 0, 0, 1),
(93, 44, 0, 1, 2, 1, 0, 0, 2),
(93, 46, 0, 1, 0, 0, 0, 0, 0),
(94, 42, 0, 1, 0, 0, 1, 0, 1),
(94, 44, 0, 1, 0, 1, 0, 0, 0),
(94, 46, 0, 1, 0, 4, 0, 0, 1),
(95, 42, 0, 2, 1, 0, 0, 0, 0),
(95, 44, 0, 1, 2, 6, 1, 0, 2),
(95, 46, 0, 1, 2, 3, 1, 0, 1),
(96, 42, 0, 0, 0, 7, 1, 0, 0),
(96, 44, 1, 0, 0, 7, 1, 0, 1),
(96, 46, 0, 0, 0, 5, 0, 0, 1),
